rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	MYD88	myeloid differentiation primary response gene (88)	1011	68	0	1	124	2	1	1	128	123	19	1.279730e-15	1.000000e-05	1.000000e-05	1.000000e-16	9.243616e-14
2	TP53	tumor protein p53	1889	3	1	3	99	14	9	11	133	123	84	1.000000e-16	1.000000e-05	1.000000e-05	1.000000e-16	9.243616e-14
3	CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	7449	9	0	6	63	21	13	21	118	96	100	1.924899e-15	1.000000e-05	4.729500e-01	1.000000e-16	9.243616e-14
4	TNFAIP3	tumor necrosis factor, alpha-induced protein 3	2405	2	0	1	12	27	2	41	82	69	70	1.000000e-16	3.200000e-03	5.828000e-01	1.000000e-16	9.243616e-14
5	TBL1XR1	transducin (beta)-like 1 X-linked receptor 1	1601	17	0	2	49	0	8	12	69	64	42	1.000000e-16	1.000000e-05	2.566800e-01	1.000000e-16	9.243616e-14
6	HLA-B	major histocompatibility complex, class I, B	1119	2	0	5	33	23	11	8	75	62	56	5.398389e-16	1.683667e-01	3.166667e-04	1.000000e-16	9.243616e-14
7	HLA-A	major histocompatibility complex, class I, A	1128	70	0	2	28	20	6	12	66	56	47	1.000000e-16	1.423000e-02	1.000000e-05	1.000000e-16	9.243616e-14
8	FAS	Fas (TNF receptor superfamily, member 6)	1044	5	0	0	19	14	9	14	56	53	41	4.565862e-16	1.400000e-04	1.881000e-02	1.000000e-16	9.243616e-14
9	CD70	CD70 molecule	590	13	0	2	33	15	12	10	70	51	57	8.721038e-16	5.968900e-01	1.000000e-05	1.000000e-16	9.243616e-14
10	GNA13	guanine nucleotide binding protein (G protein), alpha 13	1146	19	0	3	51	13	3	8	75	51	69	1.201610e-16	4.500000e-03	6.230000e-01	1.000000e-16	9.243616e-14
11	ETV6	ets variant gene 6 (TEL oncogene)	1387	0	0	4	21	5	25	6	57	47	29	3.427247e-16	1.000000e-05	1	1.000000e-16	9.243616e-14
12	CCND3	cyclin D3	945	1	0	3	21	6	0	19	46	46	24	1.717585e-15	1.000000e-05	8.234900e-01	1.000000e-16	9.243616e-14
13	NOTCH2	Notch homolog 2 (Drosophila)	7548	0	0	4	12	24	0	13	49	45	36	1.000000e-16	5.000000e-03	8.675000e-01	1.000000e-16	9.243616e-14
14	BCL10	B-cell CLL/lymphoma 10	710	1	0	4	15	24	0	12	51	43	30	1.000000e-16	1.000000e-05	1	1.000000e-16	9.243616e-14
15	TOX	thymocyte selection-associated high mobility group box	1613	61	0	3	5	3	22	4	34	29	16	2.324424e-15	1.000000e-05	9.997900e-01	1.000000e-16	9.243616e-14
16	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	1002	2	0	2	5	22	2	0	29	27	12	1.000000e-16	6.010000e-02	1.850000e-03	1.000000e-16	9.243616e-14
17	ZNF444	zinc finger protein 444	996	1	0	1	0	0	0	25	25	25	2	1.000000e-16	1.000000e-05	8.473900e-01	1.000000e-16	9.243616e-14
18	GDF1	growth differentiation factor 1	1144	1	0	1	4	0	0	12	16	14	5	1.000000e-16	1.000000e-05	9.040700e-01	1.000000e-16	9.243616e-14
19	PRDM1	PR domain containing 1, with ZNF domain	2513	13	0	6	21	14	21	12	68	54	51	1.000000e-16	9.100000e-03	2.856000e-01	1.110223e-16	9.243616e-14
20	ZFP36L1	zinc finger protein 36, C3H type-like 1	1198	0	0	27	32	3	23	3	61	46	37	1.000000e-16	7.100000e-03	6.718000e-01	1.110223e-16	9.243616e-14
21	TMEM30A	transmembrane protein 30A	1110	45	0	0	5	21	8	12	46	41	36	1.000000e-16	2.150000e-02	1.338000e-01	1.110223e-16	9.243616e-14
22	POU2F2	POU class 2 homeobox 2	1446	41	0	3	27	1	3	2	33	31	21	3.891791e-13	1.000000e-05	2.056200e-01	1.110223e-16	9.243616e-14
23	UBE2A	ubiquitin-conjugating enzyme E2A (RAD6 homolog)	479	18	0	0	23	2	4	2	31	28	28	1.000000e-16	5.200000e-02	2.250000e-01	3.330669e-16	2.541994e-13
24	RHOA	ras homolog gene family, member A	918	137	0	1	25	0	0	1	26	23	17	2.207193e-14	1.300000e-04	7.137400e-01	3.330669e-16	2.541994e-13
25	LOC729991-MEF2B		1128	9	0	3	34	2	1	5	42	41	33	1.000000e-16	1.520000e-01	1.160000e-01	7.771561e-16	5.694067e-13
26	ZEB2	zinc finger E-box binding homeobox 2	3681	5	0	4	6	8	7	17	38	34	33	1.279555e-15	1.540000e-02	9.994000e-01	1.332268e-15	9.385825e-13
27	B2M	beta-2-microglobulin	374	0	1	1	26	14	7	16	63	54	40	5.547312e-16	2.030000e-02	5.994000e-01	1.443290e-15	9.441693e-13
28	CD58	CD58 molecule	775	45	0	0	13	20	3	26	62	47	50	1.000000e-16	1.550000e-01	8.340000e-01	1.443290e-15	9.441693e-13
29	HLA-C	major histocompatibility complex, class I, C	1131	1	0	0	11	6	4	3	24	21	19	8.827547e-12	6.700000e-04	6.000000e-05	3.330669e-15	2.103719e-12
30	TNFRSF14	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	880	5	0	4	29	25	14	14	82	76	67	2.465051e-15	4.140000e-01	4.500000e-02	7.438494e-15	4.541697e-12
31	MLL2	myeloid/lymphoid or mixed-lineage leukemia 2	16826	5	0	17	63	71	19	77	230	168	218	2.006729e-15	1	9.510000e-01	6.994405e-14	4.132791e-11
32	NFKBIE	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon	1525	5	0	3	12	4	2	17	35	25	24	7.487105e-12	1.500000e-03	2.784000e-01	7.988055e-13	4.572412e-10
33	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	709	50	0	0	17	0	0	0	17	17	10	4.614806e-09	1.000000e-05	7.369100e-01	1.463163e-12	8.121441e-10
34	ARIH1	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)	1726	2	0	3	1	0	0	10	11	11	2	3.186169e-08	1.000000e-05	1	9.486745e-12	5.110844e-09
