gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	pCL2	pFN2	pCF	p	q
PIM1	pim-1 oncogene	962	0	55	266	332	28	45	25	430	155	168	4.156935e-15	1.000000e-05	9.993100e-01	1.000000e-16	9.993740e-01	1.000000e+00	1.000000e-16	1.061023e-13
MYD88	myeloid differentiation primary response gene (88)	971	1	2	1	124	2	1	1	128	123	19	1.262318e-15	1.000000e-05	1.000000e-05	5.684342e-14	1.221245e-15	6.862467e-06	1.000000e-16	1.061023e-13
TP53	tumor protein p53	1422	1	6	3	99	14	9	11	133	123	84	3.242460e-15	1.000000e-05	1.000000e-05	7.696599e-11	1.000000e-16	1.538047e-23	1.000000e-16	1.061023e-13
CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	7449	3	3	6	63	21	13	21	118	96	100	3.147692e-15	3.000000e-05	2.022400e-01	2.545324e-03	1.884733e-01	5.843359e-02	1.000000e-16	1.061023e-13
CD79B	CD79b molecule, immunoglobulin-associated beta	713	0	5	9	80	2	17	8	107	86	39	5.091261e-16	1.000000e-05	1.000000e-05	1.000000e-16	1.522567e-05	9.131010e-03	1.000000e-16	1.061023e-13
TBL1XR1	transducin (beta)-like 1 X-linked receptor 1	1597	8	1	2	49	0	8	12	69	64	42	1.829367e-15	1.000000e-05	1.641000e-01	1.705303e-13	1.516648e-01	2.099016e-09	1.000000e-16	1.061023e-13
HLA-B	major histocompatibility complex, class I, B	1113	2	2	5	33	23	11	8	75	62	56	7.478673e-16	4.675500e-01	1.000000e-05	3.983770e-06	9.981958e-06	2.535991e-04	1.000000e-16	1.061023e-13
HLA-A	major histocompatibility complex, class I, A	1145	2	1	2	28	20	6	12	66	56	47	1.000000e-16	2.866400e-01	1.000000e-05	1.568691e-08	2.062882e-08	2.781944e-02	1.000000e-16	1.061023e-13
FAS	Fas (TNF receptor superfamily, member 6)	1059	14	1	1	20	14	9	14	57	53	42	1.000000e-16	5.000000e-05	4.973000e-02	2.164516e-06	4.651798e-02	8.044180e-01	1.000000e-16	1.061023e-13
CD70	CD70 molecule	771	0	5	2	33	15	12	10	70	51	57	1.175237e-16	7.862800e-01	1.000000e-05	8.131929e-01	7.905204e-08	7.194908e-10	1.000000e-16	1.061023e-13
ETV6	ets variant gene 6 (TEL oncogene)	1387	1	1	4	21	5	25	6	57	47	29	7.590042e-16	6.000000e-05	1	2.842171e-14	1.000000e+00	8.193387e-01	1.000000e-16	1.061023e-13
EZH2	enhancer of zeste homolog 2 (Drosophila)	2351	30	1	2	50	0	0	1	51	46	14	1.000000e-16	1.000000e-05	1.600000e-04	8.526513e-14	1.348560e-04	8.076185e-01	1.000000e-16	1.061023e-13
IRF8	interferon regulatory factor 8	1333	2	2	8	33	6	0	12	51	44	36	1.000000e-16	4.000000e-05	2.171000e-02	1.618531e-09	2.019364e-02	1.295528e-01	1.000000e-16	1.061023e-13
BCL10	B-cell CLL/lymphoma 10	710	0	1	4	15	24	0	12	51	43	30	7.093587e-16	1.000000e-05	9.999700e-01	3.245167e-04	9.999775e-01	8.147860e-02	1.000000e-16	1.061023e-13
TOX	thymocyte selection-associated high mobility group box	1613	3	2	3	5	3	22	5	35	30	17	2.755047e-16	1.000000e-05	9.955400e-01	1.000000e-16	9.956678e-01	4.625780e-02	1.000000e-16	1.061023e-13
CARD11	caspase recruitment domain family, member 11	3557	0	1	18	100	0	2	4	106	87	59	4.011551e-13	1.000000e-05	4.550000e-03	8.648158e-10	4.085499e-03	1.407690e-02	1.110223e-16	1.061023e-13
BTG1	B-cell translocation gene 1, anti-proliferative	520	0	11	113	117	9	5	14	145	81	85	1.130274e-15	6.666667e-04	9.999333e-01	7.266997e-06	9.998636e-01	9.954769e-01	1.110223e-16	1.061023e-13
