gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	pCL2	pFN2	pCF	p	q
PIM1	pim-1 oncogene	962	0	64	312	396	36	51	28	511	191	188	2.513004e-16	1.000000e-05	9.645600e-01	2.842171e-13	9.591962e-01	1.000000e+00	1.000000e-16	6.264483e-14
MYD88	myeloid differentiation primary response gene (88)	971	1	2	1	159	2	1	1	163	157	22	1.769404e-16	1.000000e-05	1.000000e-05	1.136868e-13	1.110223e-15	1.772555e-07	1.000000e-16	6.264483e-14
TP53	tumor protein p53	1422	1	6	3	127	19	9	13	168	154	101	2.350461e-15	1.000000e-05	1.000000e-05	1.136868e-13	5.329071e-15	9.593507e-29	1.000000e-16	6.264483e-14
CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	7449	3	5	9	83	25	17	28	153	125	123	1.000000e-16	1.000000e-05	3.863200e-01	2.237022e-05	3.636752e-01	1.290042e-02	1.000000e-16	6.264483e-14
HIST1H1E	histone cluster 1, H1e	660	0	2	35	187	2	0	12	201	123	100	1.000000e-16	1.000000e-05	9.382400e-01	7.113073e-07	9.306430e-01	7.445720e-01	1.000000e-16	6.264483e-14
CD79B	CD79b molecule, immunoglobulin-associated beta	713	0	6	12	102	2	18	10	132	108	46	5.590223e-16	1.000000e-05	1.000000e-05	1.000000e-16	1.000298e-05	9.403291e-03	1.000000e-16	6.264483e-14
BTG1	B-cell translocation gene 1, anti-proliferative	520	0	12	134	143	10	5	18	176	105	105	1.000000e-16	1.000000e-05	9.997700e-01	1.041911e-03	9.997876e-01	9.997643e-01	1.000000e-16	6.264483e-14
CARD11	caspase recruitment domain family, member 11	3557	0	1	19	124	0	2	4	130	105	66	6.803078e-14	1.000000e-05	5.580000e-03	1.085709e-11	4.688944e-03	1.411968e-01	1.000000e-16	6.264483e-14
TNFRSF14	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	913	0	5	4	44	31	21	17	113	101	87	1.000000e-16	4.358889e-02	3.888889e-04	1.017930e-04	2.930450e-04	3.162408e-30	1.000000e-16	6.264483e-14
BCL2	B-cell CLL/lymphoma 2	755	0	22	187	196	0	0	0	196	97	107	2.584992e-15	1.000000e-05	9.979200e-01	7.109192e-03	9.974710e-01	8.701190e-01	1.000000e-16	6.264483e-14
TNFAIP3	tumor necrosis factor, alpha-induced protein 3	2401	22	4	1	15	34	6	55	110	93	95	1.320118e-16	1.700000e-03	4.353000e-01	2.091688e-02	4.173434e-01	2.286221e-04	1.000000e-16	6.264483e-14
HIST1H1C	histone cluster 1, H1c	642	0	2	25	100	1	0	6	107	85	75	1.000000e-16	1.250000e-03	2.700500e-01	6.775776e-03	2.491590e-01	9.330834e-01	1.000000e-16	6.264483e-14
HLA-B	major histocompatibility complex, class I, B	1114	2	3	5	46	27	15	9	97	83	65	5.900556e-16	1.359200e-01	1.000000e-05	1.759691e-05	2.466459e-07	1.058020e-04	1.000000e-16	6.264483e-14
TBL1XR1	transducin (beta)-like 1 X-linked receptor 1	1597	8	1	4	60	0	9	13	82	75	48	1.000000e-16	1.000000e-05	1.235700e-01	6.821210e-13	1.129442e-01	9.304061e-10	1.000000e-16	6.264483e-14
