gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	pCL2	pFN2	pCF	p	q
PIM1	pim-1 oncogene	962	0	55	266	332	28	45	25	430	155	168	2.570081e-15	1.000000e-05	9.991900e-01	1.217018e-10	9.989549e-01	1.000000e+00	1.000000e-16	9.163377e-14
MYD88	myeloid differentiation primary response gene (88)	971	1	2	1	125	2	1	1	129	124	19	8.952405e-16	1.000000e-05	1.000000e-05	1.705303e-13	1.000000e-16	2.529628e-06	1.000000e-16	9.163377e-14
TP53	tumor protein p53	1422	1	6	3	99	14	9	11	133	123	84	3.355911e-15	1.000000e-05	1.000000e-05	7.696599e-11	1.998401e-15	1.423341e-23	1.000000e-16	9.163377e-14
CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	7449	3	3	6	63	21	13	21	118	96	100	1.921898e-15	1.000000e-05	1.788300e-01	2.545324e-03	1.648646e-01	5.796265e-02	1.000000e-16	9.163377e-14
CD79B	CD79b molecule, immunoglobulin-associated beta	713	0	5	9	80	2	17	8	107	86	39	2.833495e-16	1.000000e-05	5.000000e-05	1.000000e-16	3.058918e-05	9.106651e-03	1.000000e-16	9.163377e-14
BTG1	B-cell translocation gene 1, anti-proliferative	520	0	11	115	117	9	5	14	145	81	85	1.263813e-16	1.000000e-05	9.980700e-01	1.023973e-02	9.975591e-01	9.954864e-01	1.000000e-16	9.163377e-14
TBL1XR1	transducin (beta)-like 1 X-linked receptor 1	1597	8	1	2	50	0	8	12	70	65	42	1.562135e-15	1.000000e-05	2.066500e-01	2.273737e-13	1.921051e-01	2.080867e-10	1.000000e-16	9.163377e-14
HLA-B	major histocompatibility complex, class I, B	1113	2	2	5	33	23	11	8	75	62	56	1.000000e-16	4.432500e-01	2.000000e-05	3.386640e-08	8.537236e-06	2.518836e-04	1.000000e-16	9.163377e-14
HLA-A	major histocompatibility complex, class I, A	1145	2	1	2	28	20	6	12	66	56	47	1.234948e-16	1.459200e-01	1.000000e-05	2.119333e-06	7.869975e-09	2.763845e-02	1.000000e-16	9.163377e-14
FAS	Fas (TNF receptor superfamily, member 6)	1059	14	1	1	20	14	9	14	57	53	42	1.000000e-16	6.000000e-05	1.517000e-02	2.164516e-06	1.368163e-02	8.035869e-01	1.000000e-16	9.163377e-14
CD70	CD70 molecule	771	0	5	2	33	15	12	10	70	51	57	1.000000e-16	8.666000e-01	1.000000e-05	8.131929e-01	8.221032e-08	7.184209e-10	1.000000e-16	9.163377e-14
GNA13	guanine nucleotide binding protein (G protein), alpha 13	1146	1	1	3	51	13	3	8	75	51	69	1.000000e-16	2.600000e-03	5.653000e-01	6.754418e-01	5.451427e-01	2.138706e-02	1.000000e-16	9.163377e-14
ETV6	ets variant gene 6 (TEL oncogene)	1387	1	1	4	21	5	25	6	57	47	29	8.179136e-16	1.000000e-05	1	2.842171e-14	1.000000e+00	8.190781e-01	1.000000e-16	9.163377e-14
EZH2	enhancer of zeste homolog 2 (Drosophila)	2351	30	1	2	50	0	0	1	51	46	14	1.000000e-16	1.000000e-05	1.000000e-05	8.526513e-14	4.625672e-06	8.069265e-01	1.000000e-16	9.163377e-14
IRF8	interferon regulatory factor 8	1333	2	2	8	33	6	0	12	51	44	36	1.040385e-15	1.000000e-05	3.130000e-03	1.618531e-09	2.745299e-03	1.291499e-01	1.000000e-16	9.163377e-14
BCL10	B-cell CLL/lymphoma 10	710	0	1	4	15	24	0	12	51	43	30	6.921334e-16	1.000000e-05	9.999800e-01	3.142631e-08	9.999927e-01	8.114256e-02	1.000000e-16	9.163377e-14
HIST1H1D	histone cluster 1, H1d	666	1	0	4	42	0	0	1	43	35	31	1.393680e-14	1.000000e-05	3.482000e-01	1.399219e-02	3.399538e-01	9.332255e-01	1.000000e-16	9.163377e-14
TOX	thymocyte selection-associated high mobility group box	1613	3	2	3	5	3	22	5	35	30	17	1.239424e-16	3.000000e-05	9.983600e-01	1.000000e-16	9.981387e-01	4.610075e-02	1.000000e-16	9.163377e-14
TNFAIP3	tumor necrosis factor, alpha-induced protein 3	2401	22	3	1	12	27	2	42	83	70	71	2.018625e-16	7.500000e-03	4.540000e-01	8.839597e-03	4.468426e-01	4.804858e-05	1.110223e-16	9.163377e-14
B2M	beta-2-microglobulin	391	0	7	1	26	14	8	16	64	55	41	1.000000e-16	1.050000e-02	5.826000e-01	4.201536e-08	5.633099e-01	6.899475e-07	1.110223e-16	9.163377e-14
PRDM1	PR domain containing 1, with ZNF domain	2513	7	1	6	21	14	21	12	68	54	51	1.000000e-16	6.100000e-02	7.900000e-02	1.000000e-16	7.309458e-02	7.937111e-04	1.110223e-16	9.163377e-14
CD58	CD58 molecule	790	2	4	0	13	20	3	26	62	47	50	1.000000e-16	1.500000e-02	6.800000e-01	2.418895e-02	6.833046e-01	1.057020e-03	1.110223e-16	9.163377e-14
CARD11	caspase recruitment domain family, member 11	3557	0	2	18	100	0	2	4	106	87	59	4.840859e-13	1.000000e-05	1.100000e-02	8.648158e-10	9.654618e-03	1.395550e-02	2.220446e-16	1.752994e-13
UBE2A	ubiquitin-conjugating enzyme E2A (RAD6 homolog)	479	25	1	0	23	2	4	2	31	28	28	1.704078e-16	9.700000e-02	8.800000e-02	5.497261e-01	7.416175e-02	8.572282e-09	3.330669e-16	2.519929e-13
HIST1H1E	histone cluster 1, H1e	660	0	1	22	136	2	0	11	149	98	85	1.000000e-16	3.000000e-02	9.770000e-01	7.242404e-06	9.801932e-01	4.488173e-01	4.440892e-16	3.101451e-13
IGLL5	immunoglobulin lambda-like polypeptide 5	656	0	5	34	59	1	11	9	80	54	41	1.056728e-13	4.000000e-05	8.243200e-01	1.000000e-16	8.187952e-01	7.638488e-01	4.440892e-16	3.101451e-13
TNFRSF14	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	913	0	4	4	29	25	14	14	82	76	67	4.452353e-16	4.825000e-01	6.900000e-03	7.575552e-02	5.875653e-03	3.008735e-25	5.551115e-16	3.733228e-13
TMEM30A	transmembrane protein 30A	1110	12	1	0	5	21	8	13	47	42	37	1.423334e-15	3.800000e-02	4.200000e-02	2.551246e-09	3.967331e-02	2.215182e-08	8.881784e-16	5.759837e-13
BTG2	BTG family, member 2	481	0	41	46	103	12	16	10	141	84	82	1.000000e-16	1.120000e-01	5.480000e-01	1.340891e-02	5.445745e-01	9.921908e-01	9.992007e-16	6.256375e-13
MEF2B	myocyte enhancer factor 2B	1272	3	1	3	34	2	1	5	42	41	33	9.134322e-16	1.000000e-01	2.800000e-02	5.059064e-12	2.319164e-02	5.989345e-01	1.110223e-15	6.719810e-13
NOTCH2	Notch homolog 2 (Drosophila)	7624	5	1	4	12	24	0	13	49	45	36	2.906898e-16	1.000000e-01	7.830000e-01	5.684342e-14	7.684153e-01	3.406094e-03	1.665335e-15	9.754563e-13
BCL2	B-cell CLL/lymphoma 2	755	0	18	145	142	0	0	0	142	72	86	8.984193e-14	2.571429e-04	9.999857e-01	2.171604e-03	9.999714e-01	8.233833e-01	1.887379e-15	1.070970e-12
HLA-C	major histocompatibility complex, class I, C	1147	5	1	0	11	6	4	4	25	22	20	7.775496e-12	2.127000e-02	1.000000e-05	3.878874e-06	6.827917e-06	5.595730e-01	2.997602e-15	1.649408e-12
KMT2D	myeloid/lymphoid or mixed-lineage leukemia 2	16826	8	6	17	63	71	19	78	231	168	219	1.000000e-16	1	5.020000e-01	5.666851e-01	4.838848e-01	1.440626e-01	3.774758e-15	1.958345e-12
TMSB4X	thymosin beta 4, X-linked	139	0	18	6	49	16	13	17	95	81	44	1.000000e-16	8.710000e-01	7.840000e-01	8.175983e-06	7.395503e-01	1.236028e-15	3.774758e-15	1.958345e-12
SOCS1	suppressor of cytokine signaling 1	636	0	2	33	79	11	0	16	106	60	85	2.118515e-16	4.720000e-01	9.510000e-01	7.557915e-02	9.448867e-01	9.520206e-01	4.662937e-15	2.351933e-12
CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	939	7	2	2	5	22	2	0	29	27	12	5.867607e-13	1.857000e-01	3.900000e-03	1.421085e-14	4.683918e-03	2.196245e-10	2.134959e-13	1.047745e-10
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	974	14	0	3	12	12	2	4	30	22	25	4.889375e-14	2.010000e-01	9.910000e-01	2.117551e-01	9.824902e-01	6.677402e-01	5.998535e-13	2.866353e-10
POU2F2	POU class 2 homeobox 2	1934	5	0	3	27	1	3	2	33	31	21	2.721937e-10	1.400000e-04	5.625000e-02	1.000000e-16	5.221956e-02	7.235055e-01	1.550537e-12	7.219143e-10
ZNF444	zinc finger protein 444	992	4	0	1	0	0	0	25	25	25	2	5.454331e-09	1.000000e-05	8.027700e-01	1.000000e-16	7.964249e-01	5.890687e-03	1.720291e-12	7.809259e-10
IKZF3	IKAROS family zinc finger 3 (Aiolos)	1559	8	0	2	23	0	2	2	27	25	19	8.354734e-09	1.000000e-05	2.000000e-05	7.068110e-09	1.756556e-05	9.555217e-01	2.599476e-12	1.151251e-09
BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	2151	0	1	1	39	4	1	2	46	42	36	4.254758e-08	1.000000e-05	3.582700e-01	1.118678e-10	3.438629e-01	7.445654e-01	1.254541e-11	5.423799e-09
ZEB2	zinc finger E-box binding homeobox 2	3677	23	3	4	6	8	7	17	38	34	33	3.149724e-11	7.800000e-03	9.987000e-01	9.237707e-07	9.981662e-01	3.186110e-01	1.628753e-11	6.877882e-09
HIST1H1C	histone cluster 1, H1c	642	0	2	17	66	1	0	4	71	59	55	1.721997e-11	2.200000e-02	2.200000e-01	1.576224e-03	2.171655e-01	8.885839e-01	2.334344e-11	9.633413e-09
KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	727	8	0	0	17	0	0	0	17	17	10	7.694432e-09	3.000000e-05	4.868800e-01	5.812240e-11	4.759396e-01	7.096446e-02	2.650957e-11	1.069691e-08
GNAI2	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2	1249	0	2	3	30	0	1	4	35	33	25	1.409456e-07	1.000000e-05	1.079800e-01	2.013045e-05	1.034390e-01	9.147712e-01	3.987044e-11	1.573842e-08
BCL7A	B-cell CLL/lymphoma 7A	716	0	12	9	40	1	12	3	56	45	33	2.380162e-07	1.000000e-05	1.591600e-01	2.074785e-12	1.518542e-01	8.643241e-01	6.608247e-11	2.553033e-08
CCND3	cyclin D3	1036	0	5	3	21	6	0	19	46	46	24	2.746333e-07	1.000000e-05	2.546600e-01	1.133859e-06	2.457630e-01	3.557567e-01	7.585577e-11	2.869560e-08
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	2405	0	0	3	41	0	2	3	46	43	33	5.037325e-07	1.000000e-05	1.777000e-02	8.757301e-06	1.592022e-02	9.131055e-01	1.360790e-10	5.042700e-08
FADD	Fas (TNFRSF6)-associated via death domain	631	42	0	0	14	2	1	3	20	15	19	7.201794e-10	5.951000e-01	3.200000e-03	1.534851e-01	3.428296e-03	8.496744e-01	1.436670e-10	5.217410e-08
E2F5	E2F transcription factor 5, p130-binding	1076	22	1	1	18	0	1	0	19	19	2	5.549757e-07	1.000000e-05	1	1.000000e-16	1.000000e+00	2.427879e-07	1.493843e-10	5.318666e-08
GRB2	growth factor receptor-bound protein 2	670	77	0	1	6	5	3	2	16	14	15	6.677833e-11	1.970000e-01	1.320000e-01	1.270922e-01	1.259653e-01	4.439413e-03	1.939523e-10	6.772665e-08
