gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q			Legend:	
TP53	tumor protein p53	1422	35	0	0	54	10	1	5	70	65	53	1.29E-16	2.53E-02	1.00E-05	1.00E-16	2.02E-13			gene	HUGO Symbol
MYD88	myeloid differentiation primary response gene (88)	971	105	0	0	55	1	0	1	57	55	10	1.00E-16	1.00E-05	1.00E-05	1.00E-16	2.02E-13			longname	Gene name
CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	7449	3	0	2	39	10	8	7	64	51	54	1.97E-16	1.00E-05	1.08E-02	1.00E-16	2.02E-13			codelen	coding length
CD79B	"CD79b molecule, immunoglobulin-associated beta"	713	0	0	6	39	1	5	5	50	44	23	1.29E-15	1.00E-05	1.53E-03	1.00E-16	2.02E-13			nnei	Number of similar genes used as a null model 
HLA-B	"major histocompatibility complex, class I, B"	1113	3	0	1	19	12	4	1	36	35	26	1.88E-16	6.45E-02	2.70E-03	1.00E-16	2.02E-13			nncd	Number of non-coding mutations
CD70	CD70 molecule	771	6	0	1	16	11	7	4	38	27	33	5.12E-16	4.05E-01	1.00E-05	1.00E-16	2.02E-13			nsil	Number of silent mutations
FAS	"Fas (TNF receptor superfamily, member 6)"	1059	185	0	0	9	3	7	8	27	24	18	7.73E-16	1.00E-05	3.57E-01	1.00E-16	2.02E-13			nmis	Number of  missense mutations
KLHL6	kelch-like 6 (Drosophila)	1890	9	0	3	37	0	0	0	37	28	31	1.23E-15	6.60E-03	1.29E-02	1.11E-16	2.02E-13			nstp	Number of stopcodon mutations
PRDM1	"PR domain containing 1, with ZNF domain"	2513	13	0	2	8	5	7	3	23	22	19	1.00E-16	9.10E-02	6.60E-02	1.11E-16	2.02E-13			nspl	Number of splice site mutations
TBL1XR1	transducin (beta)-like 1 X-linked receptor 1	1597	26	0	1	18	0	3	2	23	22	18	3.53E-15	4.00E-04	2.96E-01	1.11E-16	2.02E-13			nind	Number of indels
BTG1	"B-cell translocation gene 1, anti-proliferative"	520	0	0	44	61	3	2	2	68	43	55	1.00E-16	3.00E-02	9.79E-01	2.22E-16	3.67E-13			nnon	Number of non-silent mutations
BCL2	B-cell CLL/lymphoma 2	755	0	0	107	111	0	0	0	111	53	76	8.62E-16	5.50E-03	9.97E-01	5.55E-16	8.41E-13			npat	Number of patients
CARD11	"caspase recruitment domain family, member 11"	3557	42	0	3	42	0	1	0	43	34	31	2.24E-12	1.00E-05	6.78E-02	8.88E-16	1.15E-12			nsite	Number of individual sites
HLA-A	"major histocompatibility complex, class I, A"	1144	7	0	0	10	10	3	4	27	25	24	7.06E-16	5.26E-01	1.09E-02	8.88E-16	1.15E-12			pCV	MuSigCV p-value
PIM1	pim-1 oncogene	962	0	0	83	114	9	14	5	142	67	84	2.85E-16	1.80E-02	9.63E-01	1.11E-15	1.35E-12			pCL	p-value based on 1D clsutering
CCND3	cyclin D3	1034	68	0	1	6	3	0	5	14	14	11	5.92E-14	2.38E-04	4.46E-01	1.22E-15	1.39E-12			pFN	p-value based on conservation score
B2M	beta-2-microglobulin	389	26	0	0	11	8	6	6	31	26	22	6.62E-16	4.20E-02	3.09E-01	1.44E-15	1.54E-12			p	aggregate MutSig2CV p-value
TNFRSF14	"tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)"	913	0	0	2	19	11	8	5	43	42	39	6.52E-16	5.04E-01	2.00E-02	2.33E-15	2.22E-12			q	Benjamini Hochhaus false discovery rate 
HIST1H1C	"histone cluster 1, H1c"	642	0	0	9	39	0	0	2	41	37	31	5.17E-13	4.00E-05	6.40E-01	2.33E-15	2.22E-12				
TMEM30A	transmembrane protein 30A	1110	38	0	0	3	12	1	3	19	17	16	1.00E-16	5.08E-01	3.78E-01	2.44E-15	2.22E-12				
TMSB4X	"thymosin beta 4, X-linked"	139	0	0	4	23	5	11	5	44	38	27	4.50E-16	3.79E-01	3.55E-01	1.08E-14	9.32E-12				
EBF1	early B-cell factor 1	1836	2	0	2	21	7	8	1	37	32	34	1.34E-14	3.30E-02	1.04E-01	1.32E-14	1.09E-11				
CD58	CD58 molecule	790	88	0	0	10	9	3	8	30	19	29	1.72E-15	6.94E-01	1.65E-01	1.47E-14	1.16E-11				
TNFAIP3	"tumor necrosis factor, alpha-induced protein 3"	2401	140	0	1	2	9	5	13	29	26	28	7.58E-16	6.78E-01	5.25E-01	1.92E-14	1.45E-11				
KMT2D	myeloid/lymphoid or mixed-lineage leukemia 2	16826	0	0	4	20	36	4	36	96	75	95	7.96E-16	8.84E-01	8.38E-01	2.85E-14	2.07E-11				
MEF2B	myocyte enhancer factor 2B	1272	32	0	0	16	2	1	1	20	20	19	1.39E-14	3.79E-01	7.30E-02	4.27E-14	2.99E-11				
NFKBIA	"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha"	974	15	0	2	10	5	3	4	22	15	22	2.23E-15	1	9.01E-01	7.75E-14	5.22E-11				
HLA-C	"major histocompatibility complex, class I, C"	1147	69	0	0	8	4	4	0	16	13	12	1.05E-11	1.08E-02	7.80E-04	1.37E-13	8.88E-11				
RHOA	"ras homolog gene family, member A"	739	635	0	0	19	0	0	0	19	16	15	1.57E-14	1.38E-01	6.60E-01	1.65E-13	1.03E-10				
EEF1A1	eukaryotic translation elongation factor 1 alpha 1	1413	15	0	2	15	0	2	2	19	17	16	9.49E-12	5.00E-04	7.57E-01	3.67E-13	2.22E-10				
UBE2A	ubiquitin-conjugating enzyme E2A (RAD6 homolog)	479	486	0	0	8	3	1	1	13	12	12	2.75E-14	4.42E-01	4.42E-01	4.90E-13	2.88E-10				
EZH2	enhancer of zeste homolog 2 (Drosophila)	2351	8	0	2	24	0	0	0	24	22	10	1.62E-09	1.00E-05	9.08E-03	5.31E-13	3.02E-10				
POU2AF1	POU class 2 associating factor 1	787	182	0	0	4	0	7	1	12	12	8	2.61E-12	6.06E-02	3.66E-02	7.27E-13	4.01E-10				
HIST1H1E	"histone cluster 1, H1e"	660	0	0	9	58	0	0	0	58	39	43	1.03E-11	2.70E-02	8.74E-01	1.47E-11	7.88E-09				
POU2F2	POU class 2 homeobox 2	1933	8	0	0	15	1	0	1	17	17	9	5.63E-09	3.00E-05	2.39E-01	1.64E-11	8.54E-09				
BRAF	v-raf murine sarcoma viral oncogene homolog B1	2369	16	0	1	17	0	2	0	19	18	13	8.50E-08	1.00E-05	6.43E-02	2.45E-11	1.24E-08				
SGK1	serum/glucocorticoid regulated kinase 1	2212	0	0	26	87	5	24	2	118	43	73	2.29E-07	1.00E-05	3.10E-03	6.37E-11	3.13E-08				
IGLL5	immunoglobulin lambda-like polypeptide 5	656	0	0	18	42	2	4	3	51	30	39	5.10E-11	2.90E-02	4.80E-01	7.74E-11	3.70E-08				
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	2403	27	0	2	21	0	1	0	22	19	18	2.47E-08	1.10E-04	1.72E-01	1.01E-10	4.72E-08				
GNA13	"guanine nucleotide binding protein (G protein), alpha 13"	1146	1	0	3	31	13	1	3	48	33	45	5.28E-12	7.21E-01	6.12E-01	1.42E-10	6.47E-08				
BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	2151	69	0	1	16	1	1	0	18	17	16	9.51E-10	1.45E-02	4.38E-02	1.49E-10	6.59E-08				
ACTB	"actin, beta"	1144	0	0	6	26	3	5	3	37	32	27	1.34E-09	1.90E-03	9.17E-01	1.82E-10	7.90E-08				
STAT6	"signal transducer and activator of transcription 6, interleukin-4 induced"	2624	55	0	1	16	0	0	0	16	14	11	5.01E-06	3.00E-04	1.00E-05	1.24E-09	5.24E-07				
LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	1583	47	0	0	8	2	5	0	15	12	14	1.32E-10	1	3.45E-01	1.48E-09	6.11E-07				
HVCN1	hydrogen voltage-gated channel 1	856	94	0	0	5	3	1	2	11	10	10	3.23E-10	5.96E-01	1.30E-01	2.21E-09	8.95E-07				
ETV6	ets variant gene 6 (TEL oncogene)	1387	1	0	2	7	2	12	3	24	21	13	9.99E-06	1.00E-05	1	2.40E-09	9.48E-07				
NOTCH2	Notch homolog 2 (Drosophila)	7624	3	0	0	7	12	0	2	21	20	15	9.50E-10	9.90E-02	5.34E-01	2.59E-09	1.00E-06				
CXCR4	chemokine (C-X-C motif) receptor 4	1088	25	0	0	5	1	3	0	9	8	8	6.05E-08	1.41E-02	2.74E-01	7.59E-09	2.87E-06				
KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	724	883	0	0	8	0	0	0	8	8	3	1.22E-05	2.00E-05	9.65E-01	1.35E-08	4.97E-06				
IKZF3	IKAROS family zinc finger 3 (Aiolos)	1559	21	0	2	10	0	0	1	11	10	8	6.15E-05	5.00E-05	1.25E-01	1.37E-08	4.97E-06				
TOX	thymocyte selection-associated high mobility group box	1613	28	0	0	3	2	7	1	13	12	9	1.03E-07	7.40E-03	7.12E-01	1.92E-08	6.83E-06				
HIST1H1B	"histone cluster 1, H1b"	681	2	0	7	29	0	0	1	30	26	23	1.88E-06	2.67E-04	4.66E-01	2.05E-08	7.17E-06				
HIST1H2BC	"histone cluster 1, H2bc"	381	2	0	12	23	2	0	0	25	18	20	9.38E-06	2.00E-05	5.10E-01	2.24E-08	7.68E-06				
CRIP1	cysteine-rich protein 1 (intestinal)	246	28	0	0	4	0	3	0	7	7	7	1.76E-08	1	4.50E-02	4.22E-08	1.42E-05				
HIST1H2AC	"histone cluster 1, H2ac"	393	1	0	14	15	3	1	0	19	17	16	2.19E-05	1.50E-04	5.67E-01	5.89E-08	1.95E-05				
PTPN6	"protein tyrosine phosphatase, non-receptor type 6"	2003	157	0	2	17	2	2	0	21	13	20	1.63E-07	1.50E-01	4.00E-02	6.68E-08	2.17E-05				
BCL10	B-cell CLL/lymphoma 10	710	1	0	4	8	11	0	2	21	16	16	9.47E-07	2.80E-03	8.27E-01	9.92E-08	3.16E-05				
CD83	CD83 molecule	634	0	0	5	15	1	8	0	24	18	18	1.71E-05	2.22E-04	3.28E-01	1.03E-07	3.23E-05				
PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	11	0	1	4	5	1	1	11	10	10	3.40E-08	1.58E-01	5.46E-01	1.26E-07	3.88E-05				
EP300	E1A binding protein p300	7365	14	0	4	23	0	1	2	26	25	22	3.76E-05	1.60E-04	1.85E-01	1.76E-07	5.34E-05				
GRB2	growth factor receptor-bound protein 2	670	77	0	0	5	1	3	1	10	8	9	6.83E-08	2.45E-01	5.43E-01	3.48E-07	1.04E-04				
NFKBIE	"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon"	1523	66	0	0	5	1	1	5	12	10	9	5.62E-07	3.70E-02	1.23E-01	4.88E-07	1.43E-04				
HIST1H2BK	"histone cluster 1, H2bk"	381	0	0	9	24	1	0	2	27	24	27	7.59E-08	3.31E-01	2.89E-01	5.94E-07	1.71E-04				
ZC3H12A	zinc finger CCCH-type containing 12A	1816	52	0	2	4	4	0	2	10	10	10	3.14E-06	1	5.00E-03	1.16E-06	3.30E-04				
XPO1	"exportin 1 (CRM1 homolog, yeast)"	3308	9	0	1	5	0	2	0	7	7	3	6.68E-04	1.40E-04	5.19E-01	1.93E-06	5.39E-04				
IRF8	interferon regulatory factor 8	1332	3	0	5	17	1	0	7	25	24	20	1.27E-04	1.75E-03	3.58E-01	2.35E-06	6.47E-04				
SPEN	"spen homolog, transcriptional regulator (Drosophila)"	11051	27	0	5	11	14	0	4	29	27	28	3.49E-07	3.44E-01	4.99E-01	2.53E-06	6.87E-04				
CD274	CD274 molecule	893	65	0	0	4	1	3	2	10	8	10	5.56E-07	2.65E-01	6.46E-01	2.95E-06	7.89E-04				
HIST1H1D	"histone cluster 1, H1d"	666	4	0	6	24	0	0	1	25	20	22	7.39E-05	1.35E-03	6.33E-01	3.16E-06	8.34E-04				
ZFP36L1	"zinc finger protein 36, C3H type-like 1"	1729	0	0	18	15	2	12	1	30	25	20	1.42E-05	4.35E-01	1.70E-02	6.66E-06	1.73E-03				
RAD9A	RAD9 homolog A (S. pombe)	1216	151	0	0	4	0	1	0	5	5	3	3.50E-03	1.40E-04	2.81E-01	8.12E-06	2.08E-03				
DTX1	deltex homolog 1 (Drosophila)	1895	0	0	13	38	4	1	5	48	37	37	2.95E-04	6.33E-04	9.92E-01	9.06E-06	2.29E-03				
YY1	YY1 transcription factor	1261	86	0	0	4	3	1	0	8	8	8	6.67E-07	1	6.83E-01	1.02E-05	2.53E-03				
NAV1	neuron navigator 1	5848	2	0	0	4	0	0	3	7	7	5	7.29E-03	1.10E-04	3.21E-01	1.41E-05	3.46E-03				
