Descriptor	chr	peak_start	peak_end	gstart	gend	cytoband	type
1q23.3:AMP	1	161336260	161721713	161336261	161721714	1q23.3	AMP
1q32.1:AMP	1	200014642	200528517	200014643	200528518	1q32.1	AMP
2p16.1:AMP	2	58468401	62115577	307719022	311366198	2p16.1	AMP
3q28:AMP	3	187447324	189028250	679897318	681478244	3q28	AMP
6p21.1:AMP	6	41309831	42023316	1103851791	1104565276	6p21.1	AMP
7q22.1:AMP	7	99792969	99818231	1333449996	1333475258	7q22.1	AMP
8q24.22:AMP	8	133919039	134108532	1526714729	1526904222	8q24.22	AMP
9p24.1:AMP	9	4844603	5569955	1544004315	1544729667	9p24.1	AMP
11q23.3:AMP	11	117712724	117864039	1933620614	1933771929	11q23.3	AMP
17q24.3:AMP	17	67082818	67133537	2567254682	2567305401	17q24.3	AMP
18q21.32:AMP	18	56383183	56819841	2637750257	2638186915	18q21.32	AMP
18q22.2:AMP	18	67531613	67795686	2648898687	2649162760	18q22.2	AMP
19q13.42:AMP	19	55435174	55530048	2714879496	2714974370	19q13.42	AMP
1p36.32:DEL	1	3428183	5924020	3428184	5924021	1p36.32	DEL
1p36.11:DEL	1	27224004	27339026	27224005	27339027	1p36.11	DEL
1p31.1:DEL	1	78479019	79101096	78479020	79101097	1p31.1	DEL
1p13.1:DEL	1	117150759	117303137	117150760	117303138	1p13.1	DEL
1q42.12:DEL	1	225755034	226829722	225755035	226829723	1q42.12	DEL
2q22.2:DEL	2	143798112	144710373	393048733	393960994	2q22.2	DEL
3p21.31:DEL	3	49215943	49311526	541665937	541761520	3p21.31	DEL
3q28:DEL	3	189028252	189690736	681478246	682140730	3q28	DEL
4q21.22:DEL	4	82378714	83347699	772851138	773820123	4q21.22	DEL
4q35.1:DEL	4	184366753	186382256	874839177	876854680	4q35.1	DEL
6p21.33:DEL	6	31118570	32917110	1093660530	1095459070	6p21.33	DEL
6q14.1:DEL	6	75902000	75969133	1138443960	1138511093	6q14.1	DEL
6q21:DEL	6	108544202	109175578	1171086162	1171717538	6q21	DEL
8q12.1:DEL	8	59548066	61139461	1452343756	1453935151	8q12.1	DEL
9p21.3:DEL	9	21409461	23704991	1560569173	1562864703	9p21.3	DEL
9q21.13:DEL	9	74361187	74561973	1613520899	1613721685	9q21.13	DEL
10q23.31:DEL	10	90771797	90983512	1771144940	1771356655	10q23.31	DEL
12p13.2:DEL	12	12264928	12496135	1963179334	1963410541	12p13.2	DEL
13q14.2:DEL	13	49089800	49796343	2133856101	2134562644	13q14.2	DEL
13q34:DEL	13	109831936	111274636	2194598237	2196040937	13q34	DEL
14q32.31:DEL	14	102963982	103174859	2302900161	2303111038	14q32.31	DEL
15q15.3:DEL	15	41387833	44120362	2348673552	2351406081	15q15.3	DEL
16q12.1:DEL	16	50763771	51174326	2460580882	2460991437	16q12.1	DEL
17q25.1:DEL	17	73282463	73482014	2573454327	2573653878	17q25.1	DEL
18q23:DEL	18	77105807	78077248	2658472881	2659444322	18q23	DEL
19p13.3:DEL	19	6495704	6667440	2665940026	2666111762	19p13.3	DEL
19p13.2:DEL	19	10823267	10886479	2670267589	2670330801	19p13.2	DEL
19q13.32:DEL	19	45572483	45716469	2705016805	2705160791	19q13.32	DEL
