cytoband	1p36.32	6p21.33	15q15.3	6q23.3	19p13.3	18q23	3p21.31	2q22.2	14q32.31	10q23.31	6q21	9p21.3	16q12.1	6q14.3	8q12.1	19p13.2	4q21.22	6q14.1	13q14.2	1p13.1	1p36.11	13q34	12p13.2	3q28	1q42.12	17q25.1	4q35.1	1p31.1	17p11.2	9q21.13	19q13.32	17q24.1	16p13.3	2p22.2	7q31.31	5p15.31	8p23.3	13q12.12	5q33.3	11q24.3	5q35.3	12q24.11	
q value	1.4446e-24	1.5659e-18	9.2657e-16	2.4188e-20	3.5258e-12	2.5367e-10	8.6427e-08	1.7586e-07	1.9828e-07	4.7368e-07	4.9443e-19	2.3015e-06	9.0638e-06	1.7853e-13	0.00030084	5.5569e-05	0.00024686	2.4209e-12	0.00030909	2.7696e-05	3.9101e-05	0.0025654	0.0052216	0.0069659	0.008181	0.012756	0.022207	0.00033571	0.047328	0.053058	0.091607	0.085189	0.16155	0.16359	0.17086	0.18163	0.1835	0.19892	0.083901	0.23011	0.11364	0.2441	
residual q value	2.3183e-23	1.5659e-18	9.2657e-16	1.1577e-15	1.2818e-11	2.5852e-10	8.6427e-08	1.7586e-07	2.0829e-07	4.6133e-07	1.8816e-06	2.2209e-06	8.8657e-06	0.00021183	0.000299	0.000299	0.00033571	0.00045747	0.00051137	0.00091856	0.0013876	0.0047723	0.0050697	0.0069027	0.0079387	0.019898	0.031962	0.037766	0.045437	0.050833	0.091909	0.13497	0.15872	0.16788	0.16788	0.18588	0.18588	0.19214	0.21795	0.22925	0.238	0.238	
wide peak boundaries	chr1:1-3774223	chr6:31118570-32917525	chr15:40861840-45387210	chr6:137527359-138539327	chr19:6422399-7119525	chr18:74700467-78077248	chr3:47315095-50127874	chr2:143746425-148693171	chr14:102822170-103592910	chr10:88854304-91099150	chr6:97489422-111580915	chr9:20448193-26861099	chr16:31512030-61689498	chr6:80634709-89790882	chr8:59492268-62415991	chr19:10799290-10934518	chr4:75316173-94750608	chr6:74519802-76532532	chr13:47315880-51915354	chr1:113650298-118166077	chr1:26163975-28099876	chr13:100201448-115169878	chr12:10959115-13366459	chr3:187003729-198022430	chr1:217783703-249250621	chr17:73094205-73497204	chr4:146076595-191154276	chr1:78470900-84348731	chr17:12649313-16285565	chr9:37948692-103064528	chr19:45495575-45716469	chr17:62885835-64783236	chr16:2765800-10721546	chr2:1-43919726	chr7:108204986-159138663	chr5:1-31401602	chr8:1-11189122	chr13:1-36049734	chr5:147207638-167719215	chr11:78279738-135006516	chr5:173378884-178989605	chr12:66923653-133851895	
genes in wide peak	hsa-mir-551a	hsa-mir-1236	hsa-mir-1282	TNFAIP3	hsa-mir-220b	GALR1	hsa-mir-4271	ACVR2A	hsa-mir-4309	ACTA2	hsa-mir-587	hsa-mir-31	hsa-mir-138-2	BCKDHB	CA8	hsa-mir-199a-1	hsa-mir-575	COL12A1	hsa-mir-15a	hsa-mir-942	hsa-mir-1976	hsa-mir-1267	hsa-mir-614	hsa-mir-922	hsa-mir-3124	GRB2	hsa-mir-1305	PTGFR	hsa-mir-1288	hsa-mir-1302-8	RELB	APOH	ABAT	hsa-mir-558	hsa-mir-595	hsa-mir-887	hsa-mir-598	hsa-mir-2276	hsa-mir-146a	hsa-mir-3167	hsa-mir-4281	hsa-mir-4304	
	hsa-mir-4251	AGER	hsa-mir-627	PERP	C3	MBP	hsa-mir-191	ZEB2	TRAF3	FAS	hsa-mir-2113	hsa-mir-491	hsa-mir-3181	CGA	RAB2A	hsa-mir-638	ANXA3	COX7A2	RCBTB2	hsa-mir-320b-1	CD52	hsa-mir-4306	hsa-mir-613	hsa-mir-570	hsa-mir-3123	SUMO2	hsa-mir-4276	IFI44	hsa-mir-548h-3	hsa-mir-24-1	CLASRP	AXIN2	ADCY9	hsa-mir-4263	hsa-mir-153-2	hsa-mir-4278	hsa-mir-1322	PARP4	hsa-mir-3142	hsa-mir-100	hsa-mir-1271	hsa-mir-1178	
	hsa-mir-429	AIF1	hsa-mir-4310	OLIG3	CD70	NFATC1	hsa-mir-711	ARHGAP15	CDC42BPB	IFIT2	AIM1	CDKN2A	hsa-mir-1826	CNR1	NSMAF	QTRT1	AREG	SENP6	ESD	AMPD1	EXTL1	ATP4B	CDKN1B	hsa-mir-3137	hsa-mir-1537	KIAA0195	hsa-mir-548t	IFI44L	ADORA2B	hsa-mir-2278	TRAPPC6A	RGS9	CREBBP	hsa-mir-1301	hsa-mir-671	hsa-mir-4277	hsa-mir-4286	ALOX5AP	hsa-mir-1303	hsa-mir-4301	CLTB	hsa-mir-620	
	hsa-mir-1302-2	ATP6V1G2	hsa-mir-626		EMR1	CTDP1	hsa-mir-2115	GTDC1	TECPR2	LIPA	AMD1	CDKN2B	ADCY7	HTR1E	TOX	MIR199A1	ART3	FILIP1	MLNR	ATP1A1	FGR	COL4A1	CREBL2	hsa-mir-944	hsa-mir-1182	GGA3	hsa-mir-1979	LPHN2	COX10	hsa-let-7d	GEMIN7	GNA13	DNASE1	hsa-mir-3125	hsa-mir-1975	ADCY2	hsa-mir-124-1	ATP12A	hsa-mir-3141	hsa-mir-34c	DBN1	hsa-mir-1302-1	
	CDK11B	CFB	B2M		VAV1	TXNL4A	hsa-mir-1226	DKFZp686O1327	RCOR1	PTEN	PRDM1	ELAVL2	AMFR	ME1	CHD7	MIR638	BMP3	TMEM30A	GUCY1B2	CASQ2	IFI6	COL4A2	ETV6	hsa-mir-28	hsa-mir-320b-2	NT5C	hsa-mir-3140	GIPC2	MEIS3P1	hsa-mir-4291	ZNF296	CEP112	EMP2	hsa-mir-4262	hsa-mir-548f-4	CDH6	hsa-mir-597	BRCA2	hsa-mir-1294	hsa-mir-1260b	DRD1	hsa-mir-619	
	DVL1	C2	CAPN3		TNFSF14	ADNP2	AMT	PABPC1P2	AMN	LIPF	CCNC	IFNA1	BBS2	NT5E	CLVS1	MIR4748	BTC	LOC100506804	HTR2A	CD2	SFN	EFNB2	GPR19	APOD	hsa-mir-664	MRPS7	hsa-mir-548g	ELTD1	PMP22	hsa-mir-4290	PPP1R37	AMZ2P1	GRIN2A	hsa-mir-548s	hsa-mir-490	CDH9	hsa-mir-548i-3	CDK8	hsa-mir-378	hsa-mir-548l	F12	hsa-mir-1827	
	MEGF6	C4A	CKMT1B		TNFSF9	KCNG2	APEH	ZEB2-AS1	EXOC3L4	CH25H	FOXO3	IFNA2	CBLN1	PGM3	LOC100130298		CCNG2		KPNA3	CD58	GPR3	ERCC5	LRP6	BCL6	hsa-mir-194-1	HN1	AGA	MGC27382	PIGL	hsa-mir-3153	NKPD1		HMOX2	hsa-mir-4261	hsa-mir-29b-1	CDH10	hsa-mir-596	CDX2	hsa-mir-145	hsa-mir-1304	FGFR4	hsa-mir-4303	
